id,idChampionship,name,generalName,idRound,round,idStadium,stadium_country,stadium,attendance,idTeamHome,teamHome,teamHomeSize,scoreTeamHome,penaltiesScoreTeamHome,idTeamAway,teamAway,teamAwaySize,scoreTeamAway,penaltiesScoreTeamAway,hasPenalties,gameDate,gameCanceled,createddate,source,resultado,resultadoPenalties
1,2011_BR,Brasileirão 2011,Brasileirão,1,1,64,BR,Estádio Governador Magalhães Pinto,13799,8,Atlético-MG,X,3,,203,Atlético-PR,S,0,,,2011-05-21,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
2,2011_BR,Brasileirão 2011,Brasileirão,7,7,64,BR,Estádio Governador Magalhães Pinto,7595,8,Atlético-MG,X,0,,1,Internacional,X,4,,,2011-06-30,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
3,2011_BR,Brasileirão 2011,Brasileirão,9,9,64,BR,Estádio Governador Magalhães Pinto,7379,8,Atlético-MG,X,2,,20,América-MG,S,0,,,2011-07-10,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
4,2011_BR,Brasileirão 2011,Brasileirão,12,12,64,BR,Estádio Governador Magalhães Pinto,16100,8,Atlético-MG,X,1,,9,Fluminense,M,0,,,2011-07-27,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
5,2011_BR,Brasileirão 2011,Brasileirão,17,17,1,BR,Estádio Beira-Rio,11080,1,Internacional,X,1,,2,Botafogo,M,0,,,2011-08-17,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
6,2011_BR,Brasileirão 2011,Brasileirão,20,20,1,BR,Estádio Beira-Rio,14701,1,Internacional,X,3,,16,Santos FC,X,3,,,2011-08-31,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
7,2011_BR,Brasileirão 2011,Brasileirão,24,24,1,BR,Estádio Beira-Rio,18069,1,Internacional,X,1,,19,Coritiba FC,M,1,,,2011-09-18,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
8,2011_BR,Brasileirão 2011,Brasileirão,26,26,1,BR,Estádio Beira-Rio,16198,1,Internacional,X,2,,8,Atlético-MG,X,1,,,2011-09-25,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
9,2011_BR,Brasileirão 2011,Brasileirão,28,28,1,BR,Estádio Beira-Rio,20250,1,Internacional,X,3,,18,Vasco da Gama,M,0,,,2011-10-09,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
10,2011_BR,Brasileirão 2011,Brasileirão,31,31,1,BR,Estádio Beira-Rio,32299,1,Internacional,X,1,,14,Corinthians,X,1,,,2011-10-23,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
11,2011_BR,Brasileirão 2011,Brasileirão,35,35,1,BR,Estádio Beira-Rio,7262,1,Internacional,X,1,,15,EC Bahia,M,0,,,2011-11-16,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
12,2011_BR,Brasileirão 2011,Brasileirão,38,38,1,BR,Estádio Beira-Rio,31777,1,Internacional,X,1,,7,Grêmio,X,0,,,2011-12-04,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
13,2011_BR,Brasileirão 2011,Brasileirão,9,9,137,BR,Estádio Olímpico Monumental,13706,7,Grêmio,X,2,,19,Coritiba FC,M,0,,,2011-07-10,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
14,2011_BR,Brasileirão 2011,Brasileirão,14,14,137,BR,Estádio Olímpico Monumental,9022,7,Grêmio,X,2,,8,Atlético-MG,X,2,,,2011-08-03,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
15,2011_BR,Brasileirão 2011,Brasileirão,8,8,150,BR,Estádio Raimundo Sampaio,1503,20,América-MG,S,1,,4,Palmeiras,X,1,,,2011-07-07,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
