id,idChampionship,name,generalName,idRound,round,idStadium,stadium_country,stadium,attendance,idTeamHome,teamHome,teamHomeSize,scoreTeamHome,penaltiesScoreTeamHome,idTeamAway,teamAway,teamAwaySize,scoreTeamAway,penaltiesScoreTeamAway,hasPenalties,gameDate,gameCanceled,createddate,source,resultado,resultadoPenalties,golsInter,golsAdversario
2,2011_BR,Brasileirão 2011,Brasileirão,7,7,64,BR,Estádio Governador Magalhães Pinto,7595,8,Atlético-MG,X,0,,1,Internacional,X,4,,,2011-06-30,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória,,4,0
5,2011_BR,Brasileirão 2011,Brasileirão,17,17,1,BR,Estádio Beira-Rio,11080,1,Internacional,X,1,,2,Botafogo,M,0,,,2011-08-17,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória,,1,0
6,2011_BR,Brasileirão 2011,Brasileirão,20,20,1,BR,Estádio Beira-Rio,14701,1,Internacional,X,3,,16,Santos FC,X,3,,,2011-08-31,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,,3,3
7,2011_BR,Brasileirão 2011,Brasileirão,24,24,1,BR,Estádio Beira-Rio,18069,1,Internacional,X,1,,19,Coritiba FC,M,1,,,2011-09-18,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,,1,1
8,2011_BR,Brasileirão 2011,Brasileirão,26,26,1,BR,Estádio Beira-Rio,16198,1,Internacional,X,2,,8,Atlético-MG,X,1,,,2011-09-25,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória,,2,1
9,2011_BR,Brasileirão 2011,Brasileirão,28,28,1,BR,Estádio Beira-Rio,20250,1,Internacional,X,3,,18,Vasco da Gama,M,0,,,2011-10-09,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória,,3,0
10,2011_BR,Brasileirão 2011,Brasileirão,31,31,1,BR,Estádio Beira-Rio,32299,1,Internacional,X,1,,14,Corinthians,X,1,,,2011-10-23,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,,1,1
11,2011_BR,Brasileirão 2011,Brasileirão,35,35,1,BR,Estádio Beira-Rio,7262,1,Internacional,X,1,,15,EC Bahia,M,0,,,2011-11-16,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória,,1,0
12,2011_BR,Brasileirão 2011,Brasileirão,38,38,1,BR,Estádio Beira-Rio,31777,1,Internacional,X,1,,7,Grêmio,X,0,,,2011-12-04,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória,,1,0
21,2011_BR,Brasileirão 2011,Brasileirão,21,21,65,BR,Estádio Governador Plácido Castelo,11732,21,Ceará SC,M,1,,1,Internacional,X,1,,,2011-09-04,0,2025-08-12,Transfermarket/basedosdados.org-BR,Derrota,,1,1
25,2011_BR,Brasileirão 2011,Brasileirão,34,34,64,BR,Estádio Governador Magalhães Pinto,16967,13,Cruzeiro,X,1,,1,Internacional,X,0,,,2011-11-13,0,2025-08-12,Transfermarket/basedosdados.org-BR,Derrota,,0,1
34,2011_BR,Brasileirão 2011,Brasileirão,32,32,157,BR,Estádio Serra Dourada,6337,22,Atlético-GO,M,0,,1,Internacional,X,1,,,2011-10-30,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória,,1,0
