Adversario,Data,Estadio,Juiz,Renda,Treinador,Gols Pro,Gols Contra,Campeonato,Jogador 1,Gols,Posicao,Jogador 2,Gols,Posicao,Jogador 3,Gols,Posicao,Jogador 4,Gols,Posicao,Jogador 5,Gols,Posicao,Jogador 6,Gols,Posicao,Jogador 7,Gols,Posicao,Jogador 8,Gols,Posicao,Jogador 9,Gols,Posicao,Jogador 10,Gols,Posicao,Jogador 11,Gols,Posicao,Jogador 12,Gols,Posicao,Jogador 13,Gols,Posicao,Jogador 14,Gols,Posicao,Jogador 15,Gols,Posicao,Jogador 16,Gols,Posicao,Jogador 17,Gols,Posicao,Jogador 18,Gols,Posicao,Jogador 19,Gols,Posicao,,,,,,,,,
MILLITAR,07/09/1909,MILLITAR,PLINÍO RAMBINO,,,0,0,AMISTOSO,BALVÊ,0,G,PORTELLA,,Z,POPPE I,,Z,CARVALHO,,M,PIRES-10,,M,AGOSTINHO,,M,MENDONÇA,,A,POPPE II,,A,VINHOLES I,,A,HORÁCIO,,A,KLUWE,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,18/07/1909,GRÊMIO,WALDEMAR BROMBERG,,,0,10,AMISTOSO,POPPE II,10,G,SIMONE,,Z,PORTELLA,,Z,WETERNICK,,M,PIRES-10,,M,VINHOLES I,,M,CARVALHO,,A,MENDONÇA,,A,CÉSAR-10,,A,HORÁCIO,,A,POPPE I,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILLITAR,10/10/1909,MILLITAR,CARLOS MOREIRA,,,2,1,AMISTOSO,BALVÊ,1,G,MENDONÇA,,Z,POPPE I,,Z,CARVALHO,,M,WETERNICK,,M,AGOSTINHO,,M,ERNANI,,A,POPPE II,,A,VINHOLES I,2,A,HORÁCIO,,A,KLUWE,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACIONAL,26/06/1910,MILLITAR,MR. ARAÚJO,,,5,0,CITADINO,LINDERMEYER,0,G,MENDONÇA,,Z,BARHR,,Z,WOLEKMER,,M,VINHOLES I,,M,KLUWE,,M,POPPE I,1,A,GALVÃO,1,A,GAFFRÊ,,A,PAULISTA,1,A,VINHOLES II,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,17/07/1910,GRÊMIO,NÃO CONSTA,,,0,5,CITADINO,LINDERMEYER,5,G,MENDONÇA,,Z,WOLKMANN,,Z,VINHOLES II,,M,KLUWE,,M,LEMOS,,M,POPPE I,,A,GALVÃO,,A,GAFFRÊ,,A,CHAVES,,A,VINHOLES I,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 DE SETEMBRO,07/08/1910,BLITZ,MR. ACHÊ,,,5,0,CITADINO,ALBINO,0,G,MENDONÇA,,Z,PICARELLI,,Z,HENRIQUE,,M,DUDÚ,,M,ANTÔNIO,,M,RIBEIRO,,A,LUIS-10,,A,OLIN,,A,GALVÃO,,A,JAIART,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILLITAR,21/08/1910,MILLITAR,BOOTH DO GRÊMIO,,,1,3,CITADINO,LINDERMEYER,3,G,MENDONÇA,,Z,IGARTUA,,Z,WOLKMANN,,M,KLUWE,,M,RODOLPHO,,M,POPPE I,,A,GALVÃO,1,A,NILO-10,,A,ERNESTO,,A,JAIART,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUSS BALL,09/10/1910,BLITZ,NÃO CONSTA,,,2,1,CITADINO,LINDERMEYER,1,G,MENDONÇA,,Z,IGARTUA,,Z,WOLKMANN,,M,KLUWE,,M,VINHOLES I,,M,POPPE I,,A,GALVÃO,1,A,NILO-10,,A,ERNESTO,,A,VINHOLES I,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRISH AUFF,06/11/1910,BLITZ,NÃO CONSTA,,,7,2,CITADINO,CHARLES MORTON,2,G,STEPHAM,,Z,ANDERSON-10,,Z,CADBURRY,,M,WATSON,,M,RUBY,,M,WOLFF,,A,FURHER,,A,DAY,,A,DOSE,,A,MELBOURNE,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACIONAL,04/06/1911,MILLITAR,E. COSE,,,6,0,CITADINO,ÁVILA-10,0,G,MÉDICE,,Z,IGARTUA,,Z,WOLKMANN,,M,MOURA,,M,PADILHA,,M,TULIO,,A,GALVÃO,,A,NILO-10,,A,SIMÃO-10,,A,KLUWE,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRÊMIO,18/06/1911,MILLITAR,THEOBALDO FO,,,1,10,CITADINO,ÁVILA-10,10,G,MÉDICE,,Z,IGARTUA,,Z,WOLKMANN,,M,KLUWE,,M,PADILHA,,M,TULIO,,A,GALVÃO,,A,NILO-10,,A,SIMÃO-10,,A,VINHOLES I,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 DE SETEMBRO,09/07/1911,INTERNACIONAL,HENRIQUE SOMMER,,,4,1,CITADINO,ÁVILA-10,1,G,FELIZARDO,,Z,IGARTUA,,Z,WOLKMANN,,M,KLUWE,1,M,PADILHA,,M,TULIO,1,A,GALVÃO,1,A,POPPE I,,A,SIMÃO-10,,A,VINHOLES I,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUSS BALL,30/07/1911,GRÊMIO,HENRIQUE SOMMER,,,3,3,CITADINO,ÁVILA-10,3,G,MÉDICE,,Z,IGARTUA,,Z,WOLKMANN,,M,KLUWE,,M,PADILHA,,M,TULIO,,A,GALVÃO,,A,LEMOS,,A,SIMÃO-10,,A,VINHOLES I,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
