#,Data,PenaltisMandante,Mandante,GolsMandante,GolsVisitante,Visitante,PenaltisVisitante,Competicao,Estadio,Cidade,Arbitro,ArbitroLocal,Gol1,Gol2,Gol3,Gol4,Gol5,Gol6,Gol7,Gol8,Gol9,Gol10,Gol11,Tecnico Gremio,Tecnico Inter
1,18/07/1909,,Grêmio,10,0,Internacional,,Amistoso,Baixada,Porto Alegre,,,,,,,,,,,,,,,
2,17/07/1910,,Grêmio,5,0,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
3,18/06/1911,,Grêmio,10,1,Internacional,,Citadino,Escola de Guerra,Porto Alegre,,,,,,,,,,,,,,,
4,23/06/1912,,Grêmio,6,0,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
5,15/09/1912,,Grêmio,2,1,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
6,08/07/1913,,Internacional,1,2,Grêmio,,Citadino,Chácara dos Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
7,31/10/1915,,Grêmio,1,4,Internacional,,Amistoso,Baixada,Porto Alegre,,,,,,,,,,,,,,,
8,30/07/1916,,Internacional,6,1,Grêmio,,Citadino,Chácara dos Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
9,29/10/1916,,Grêmio,2,3,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
10,19/05/1918,,Internacional,5,3,Grêmio,,Citadino,Chácara dos Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
11,04/08/1918,,Grêmio,1,0,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
12,20/07/1919,,Internacional,2,0,Grêmio,,Citadino,Chácara dos Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
13,14/09/1919,,Grêmio,3,2,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
14,02/05/1920,,Internacional,1,4,Grêmio,,Citadino,Chácara dos Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
15,22/08/1920,,Grêmio,2,1,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
16,23/09/1923,,Grêmio,3,2,Internacional,,Amistoso,Baixada,Porto Alegre,,,,,,,,,,,,,,,
17,01/11/1923,,Internacional,0,1,Grêmio,,Amistoso,Chácara dos Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
18,27/04/1924,,Grêmio,4,3,Internacional,,Amistoso,Baixada,Porto Alegre,,,,,,,,,,,,,,,
19,12/11/1924,,Internacional,2,1,Grêmio,,Amistoso,Chácara dos Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
20,24/05/1925,,Grêmio,3,3,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
21,11/10/1925,,Grêmio,2,2,Internacional,,Citadino,Chácara dos Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
22,27/06/1926,,Internacional,1,4,Grêmio,,Citadino,Chácara dos Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
23,14/11/1926,,Grêmio,4,3,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
24,08/05/1927,,Internacional,3,2,Grêmio,,Citadino,Chácara dos Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
25,12/06/1927,,Grêmio,1,3,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
26,10/06/1928,,Internacional,2,3,Grêmio,,Citadino,Chácara dos Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
27,26/08/1928,,Grêmio,2,2,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
28,19/11/1928,,Internacional,0,2,Grêmio,,Amistoso,Chácara dos Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
29,26/05/1929,,Grêmio,2,1,Internacional,,Amistoso,Baixada,Porto Alegre,,,,,,,,,,,,,,,
30,14/07/1929,,Internacional,4,2,Grêmio,,Citadino,Chácara dos Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
31,10/11/1929,,Grêmio,2,1,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
32,04/05/1930,,Grêmio,3,1,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
33,14/09/1930,,Grêmio,1,1,Internacional,,Citadino,Campo do Porto Alegre,Porto Alegre,,,,,,,,,,,,,,,
34,15/03/1931,,Internacional,3,0,Grêmio,,Amistoso,Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
35,26/04/1931,,Internacional,1,0,Grêmio,,Citadino,Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
36,28/07/1931,,Grêmio,2,0,Internacional,,Amistoso,Baixada,Porto Alegre,,,,,,,,,,,,,,,
37,18/10/1931,,Grêmio,2,1,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
38,10/07/1932,,Grêmio,2,0,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
39,30/10/1932,,Internacional,0,1,Grêmio,,Citadino,Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
40,09/04/1933,,Grêmio,5,3,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
41,13/08/1933,,Grêmio,3,2,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
42,24/06/1934,,Internacional,4,3,Grêmio,,Citadino,Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
43,21/10/1934,,Grêmio,1,2,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
44,28/07/1935,,Internacional,1,1,Grêmio,,Citadino,Eucaliptos,Porto Alegre,,,,,,,,,,,,,,,
45,22/09/1935,,Grêmio,2,0,Internacional,,Citadino,Baixada,Porto Alegre,,,,,,,,,,,,,,,
46,15/03/1936,,Grêmio,1,1,Internacional,,Amistoso,Timbaúva,Porto Alegre,,,,,,,,,,,,,,,
