id,date,round,teamHome,scoreTeamHome,teamAway,scoreTeamAway,,image
1104336,2021-05-29,Round 1,Cuiaba,2,Juventude,2,,https://r2.thesportsdb.com/images/media/event/thumb/kptfbx1619009323.jpg
1104333,2021-05-29,Round 1,Bahia,3,Santos FC,0,,https://r2.thesportsdb.com/images/media/event/thumb/w4j0ej1601404220.jpg
1104329,2021-05-30,Round 1,Sao Paulo,0,Fluminense,0,,https://r2.thesportsdb.com/images/media/event/thumb/45jgyu1601403951.jpg
1104330,2021-05-30,Round 1,Atletico MG,1,Fortaleza,2,,https://r2.thesportsdb.com/images/media/event/thumb/kbbvrm1601404177.jpg
1104327,2021-05-30,Round 1,Flamengo,1,Palmeiras,0,,https://r2.thesportsdb.com/images/media/event/thumb/sb22511601404147.jpg
1104332,2021-05-30,Round 1,Ceara,3,Gremio,2,,https://r2.thesportsdb.com/images/media/event/thumb/emvhvh1601403901.jpg
1104328,2021-05-30,Round 1,Corinthians,0,Atletico GO,1,,https://r2.thesportsdb.com/images/media/event/thumb/gjug811601403989.jpg
1104334,2021-05-30,Round 1,Atletico PR,1,America MG,0,,https://r2.thesportsdb.com/images/media/event/thumb/m2rnlg1619009321.jpg
1104335,2021-05-30,Round 1,Chapecoense AF,0,Bragantino,3,,https://r2.thesportsdb.com/images/media/event/thumb/lcemrs1619009322.jpg
1104331,2021-05-30,Round 1,Internacional,2,Sport Club do Recife,2,,https://r2.thesportsdb.com/images/media/event/thumb/ldvtr61601404197.jpg
1104346,2021-06-05,Round 2,Atletico GO,2,Sao Paulo,0,,https://r2.thesportsdb.com/images/media/event/thumb/2jdlgh1601404171.jpg
1104339,2021-06-06,Round 2,Santos FC,3,Ceara,1,,https://r2.thesportsdb.com/images/media/event/thumb/m7rj8c1601404119.jpg
1104344,2021-06-06,Round 2,Bragantino,3,Bahia,3,,https://r2.thesportsdb.com/images/media/event/thumb/66dngr1601404074.jpg
1104337,2021-06-06,Round 2,Fluminense,1,Cuiaba,0,,https://r2.thesportsdb.com/images/media/event/thumb/bfjazf1619009324.jpg
1104340,2021-06-06,Round 2,America MG,0,Corinthians,1,,https://r2.thesportsdb.com/images/media/event/thumb/bmkjxw1619009326.jpg
1104342,2021-06-06,Round 2,Fortaleza,5,Internacional,1,,https://r2.thesportsdb.com/images/media/event/thumb/hbwn681601403978.jpg
1104338,2021-06-06,Round 2,Palmeiras,3,Chapecoense AF,1,,https://r2.thesportsdb.com/images/media/event/thumb/579txu1619009325.jpg
1104345,2021-06-06,Round 2,Juventude,0,Atletico PR,3,,https://r2.thesportsdb.com/images/media/event/thumb/6nv59w1619009327.jpg
1104343,2021-06-06,Round 2,Sport Club do Recife,0,Atletico MG,1,,https://r2.thesportsdb.com/images/media/event/thumb/j1ckft1601404213.jpg
1104348,2021-06-12,Round 3,Palmeiras,1,Corinthians,1,,https://r2.thesportsdb.com/images/media/event/thumb/e6q8ue1601404123.jpg
1104349,2021-06-12,Round 3,Santos FC,0,Juventude,0,,https://r2.thesportsdb.com/images/media/event/thumb/pxtasu1619009329.jpg
1104347,2021-06-13,Round 3,Flamengo,2,America MG,0,,https://r2.thesportsdb.com/images/media/event/thumb/manxkf1619009328.jpg
1104350,2021-06-13,Round 3,Atletico MG,1,Sao Paulo,0,,https://r2.thesportsdb.com/images/media/event/thumb/v7j8fy1601403945.jpg
1104351,2021-06-13,Round 3,Gremio,0,Atletico PR,1,,https://r2.thesportsdb.com/images/media/event/thumb/7vew7e1601404215.jpg
1104352,2021-06-13,Round 3,Fortaleza,1,Sport Club do Recife,0,,https://r2.thesportsdb.com/images/media/event/thumb/loemnh1601403958.jpg
1104353,2021-06-13,Round 3,Bahia,0,Internacional,1,,https://r2.thesportsdb.com/images/media/event/thumb/ymzvjb1601404116.jpg
1104354,2021-06-13,Round 3,Bragantino,2,Fluminense,2,,https://r2.thesportsdb.com/images/media/event/thumb/b5nkwu1601403912.jpg
1104355,2021-06-13,Round 3,Chapecoense AF,0,Ceara,0,,https://r2.thesportsdb.com/images/media/event/thumb/3g6hgc1619009329.jpg
1104359,2021-06-16,Round 4,Sao Paulo,1,Chapecoense AF,1,,https://r2.thesportsdb.com/images/media/event/thumb/wfo3gh1619009331.jpg
1104361,2021-06-16,Round 4,Internacional,0,Atletico MG,1,,https://r2.thesportsdb.com/images/media/event/thumb/ld3fmo1601403921.jpg
1104358,2021-06-16,Round 4,Corinthians,1,Bragantino,2,,https://r2.thesportsdb.com/images/media/event/thumb/tqhhge1601404156.jpg
1104365,2021-06-17,Round 4,Juventude,0,Palmeiras,3,,https://r2.thesportsdb.com/images/media/event/thumb/5ptk421619009333.jpg
1104360,2021-06-17,Round 4,America MG,0,Cuiaba,0,,https://r2.thesportsdb.com/images/media/event/thumb/bapmbo1619009332.jpg
1104362,2021-06-17,Round 4,Ceara,1,Bahia,2,,https://r2.thesportsdb.com/images/media/event/thumb/bsiy9q1601403926.jpg
1104357,2021-06-17,Round 4,Fluminense,1,Santos FC,0,,https://r2.thesportsdb.com/images/media/event/thumb/u40q4r1601404034.jpg
1104363,2021-06-17,Round 4,Sport Club do Recife,1,Gremio,0,,https://r2.thesportsdb.com/images/media/event/thumb/uz97fj1601404107.jpg
1104366,2021-06-17,Round 4,Atletico GO,0,Fortaleza,0,,https://r2.thesportsdb.com/images/media/event/thumb/qw8px21601404167.jpg
1104367,2021-06-20,Round 5,Flamengo,2,Bragantino,3,,https://r2.thesportsdb.com/images/media/event/thumb/umjqx11601404016.jpg
1104368,2021-06-20,Round 5,Palmeiras,2,America MG,1,,https://r2.thesportsdb.com/images/media/event/thumb/pt5vyx1619009334.jpg
1104373,2021-06-20,Round 5,Bahia,0,Corinthians,0,,https://r2.thesportsdb.com/images/media/event/thumb/p3ezde1601404140.jpg
1104371,2021-06-20,Round 5,Internacional,1,Ceara,1,,https://r2.thesportsdb.com/images/media/event/thumb/996ks01601403959.jpg
1104372,2021-06-20,Round 5,Fortaleza,1,Fluminense,1,,https://r2.thesportsdb.com/images/media/event/thumb/itnx0s1601404050.jpg
1104369,2021-06-20,Round 5,Santos FC,2,Sao Paulo,0,,https://r2.thesportsdb.com/images/media/event/thumb/6tdqsn1601403966.jpg
1104374,2021-06-20,Round 5,Atletico PR,2,Atletico GO,1,,https://r2.thesportsdb.com/images/media/event/thumb/rj668v1601404208.jpg
1104375,2021-06-20,Round 5,Juventude,1,Sport Club do Recife,0,,https://r2.thesportsdb.com/images/media/event/thumb/65mns61619009335.jpg
1104370,2021-06-21,Round 5,Atletico MG,1,Chapecoense AF,1,,https://r2.thesportsdb.com/images/media/event/thumb/67sxha1619009334.jpg
1104377,2021-06-23,Round 6,Flamengo,2,Fortaleza,1,,https://r2.thesportsdb.com/images/media/event/thumb/nbdk921601403946.jpg
1104379,2021-06-23,Round 6,Sao Paulo,2,Cuiaba,2,,https://r2.thesportsdb.com/images/media/event/thumb/2gkxfx1619009337.jpg
1104384,2021-06-23,Round 6,Bragantino,3,Palmeiras,1,,https://r2.thesportsdb.com/images/media/event/thumb/tctjzt1601403950.jpg
1104386,2021-06-23,Round 6,Atletico GO,1,Fluminense,0,,https://r2.thesportsdb.com/images/media/event/thumb/nxjvbc1601404103.jpg
1104380,2021-06-24,Round 6,America MG,1,Juventude,1,,https://r2.thesportsdb.com/images/media/event/thumb/p4fg161619009338.jpg
1104378,2021-06-24,Round 6,Corinthians,2,Sport Club do Recife,1,,https://r2.thesportsdb.com/images/media/event/thumb/pv90421601404150.jpg
1104382,2021-06-24,Round 6,Ceara,2,Atletico MG,1,,https://r2.thesportsdb.com/images/media/event/thumb/6lp11k1601404072.jpg
1104385,2021-06-24,Round 6,Chapecoense AF,1,Internacional,2,,https://r2.thesportsdb.com/images/media/event/thumb/i70cym1619009338.jpg
1104381,2021-06-25,Round 6,Gremio,2,Santos FC,2,,https://r2.thesportsdb.com/images/media/event/thumb/3maz2s1624619743.jpg
1104383,2021-06-25,Round 6,Bahia,2,Atletico PR,1,,https://r2.thesportsdb.com/images/media/event/thumb/8hqti11601404151.jpg
